address,referral_code,signed_build_and_earn,signed,total_points,total_ref_points,total_build_points,total_extra_points,total_pendle_points
0x63026d769f7d45fcbff3862e4a7c47c4defb4e29,uhfkjs,false,true,66.49672517864235,0.0,0.0,0.0,0.0
0x0a919c7d87e458f2cf0f61418260e8b7e57965e1,hg156d,false,true,316.74053693944086,0.0,0.0,0.0,0.0
0xf1320b6eb5817f14820de1a22be1b75500198c28,cwzc5q,false,true,29.62582324489353,0.0,0.0,0.0,0.0
0xebbdacfc5d313efad720a66d125df338d850dd60,8v53b5,false,true,8.199364451915828,7.850175,0.0,0.0,0.0
0xa90d1076eb68871bf2d8b8f46eaa8b4f8c21888d,669oa0,false,true,103.88258345588511,0.0,0.0,0.0,0.0
0x57cc51ce8f46193a6f9434f02695f391b7491e9f,yf487n,false,true,1084.2966541180126,12.448267551379303,0.0,0.0,0.0
0xcb53a818042db647cb01672751b0e4efca29cf55,8qzmak,false,true,68.85385080866666,0.0,0.0,0.0,0.0
0x8b514c26caf147b1601de64dc571f0e252de6ad1,skmtgs,false,true,17.24495053755586,0.0,0.0,0.0,0.0
0xa387949806679c42048fc61631f9b82547c41996,6tzwzz,false,true,61.70166417758198,0.0,0.0,0.0,0.0
0x9d975c54d699a6a288ad09ad021afd75714ed478,kzsjbj,false,true,99.32409817632167,0.0,0.0,0.0,0.0
0x5b9e8bdd8b6ea310fd16230ebc6c093e6a0fb562,2e9l4g,false,true,54.3271224672717,0.0,0.0,0.0,0.0
0xc8929723d4124cf385cc15ad70be283613c5e62f,k6ptye,false,true,5081.758417508514,0.0,0.0,0.0,0.0
0xda4f222d6573fc2372a227928b933a7b99b8fb8b,lma26i,false,true,39.43080555449693,0.09009206647974027,0.0,0.0,0.0
0xa060538cb7f29e69e69305050bab6775338127f7,wxicn2,false,true,39.64250100859477,0.0,0.0,0.0,0.0
0x0eb74cbb389634ed3ba54926a2702b318c60b82a,orm6sa,false,true,273.7551467166667,0.0,0.0,0.0,0.0
0x4c710b38199f589dd769d36ed52b6d0170cb83ee,obm04z,false,true,48.24381898912834,0.0,0.0,0.0,0.0
0x470d235ca1caff614abee02d98ac3aa89a6758bd,v8btrz,false,true,6922.279515469974,1124.087884281252,0.0,0.0,3734.8859465511314
0x58bfdd9459a2f07bcd204efcbc4595982ac92bb1,ew9kic,false,true,786.0287326896536,0.0,0.0,0.0,0.0
0xa38ec1a9c3bb488103508acecd71ed7430fa5e9c,wllk1l,false,true,87.23729415139235,0.0,0.0,0.0,0.0
0xf95a58533c01195c498077b90b304a7377b072cf,1avn7y,false,true,54366.73640413386,0.0,0.0,0.0,0.0
0x23b519fb0fb0a216db87bfe3c6a5d2a1e07b2ebe,z2sfai,false,true,220.47702227063007,0.0,0.0,0.0,0.0
0x89170087f319c97c9d6ce72acbb06c69ce5c4598,tfpvup,false,true,24.99237569169617,3.3355318995331222,0.0,0.0,0.0
0x9651d1de5437f23f2bdce10606c85fb7752e009e,jgz94k,false,true,95.41748862393666,0.65348171037,0.0,0.0,0.0
0x2a42b9b1cefe093bd1b8c5496d35f4f541eef8b8,m9zasn,false,true,341.9552231411509,0.0,0.0,0.0,0.0
0x9d6459a7b689bb648e9a582dfaa433264b5912dc,sy8n7o,false,true,128.82205805369142,0.0,0.0,0.0,0.0
0xeacfe6a05b019adbce408cd64d3efd5341190b59,wq3wa4,false,true,26.763954127426572,1.4659992713928054,0.0,0.0,0.0
0x8e06a0d81790ddb22666e5336008651e8409c8b8,33miba,false,true,28.916844453932104,0.0,0.0,0.0,0.0
0x7805631c3e10b38a1e4e3f1d0b62aa799312ac47,pjtrt8,false,true,665.543235007352,0.0,0.0,0.0,0.0
0xe87f9cd257c4155e10e408464fc712699d8ed553,jiytpw,false,true,20.408881893782336,0.0,0.0,0.0,0.0
0x836aae6b9ba1af57670735326db5d8b4f94815e1,3xcglh,false,true,10.837030444386993,0.0,0.0,0.0,0.0
0x6f2cd514f338afd602b7b24be4bb65e5cade8287,1ncm53,false,true,76.76691545719348,0.0,0.0,0.0,0.0
0xd6a00be5077b0300427ed75751d301cff29bf3f3,cksvip,false,true,96.38267344710427,0.0,0.0,0.0,0.0
0xa307daffd48f1a86131679a91b7c2291fb9c79bd,ocetmh,false,true,831.518095174,720.1663014000001,0.0,0.0,0.0
0x66ff2d5872dd2e2a24c24d03eb83a2066898dad8,3qz2wy,false,true,2130.7545,0.0,0.0,0.0,0.0
